seed,method,error_m
11,fl_static_no_densification,0.16082727909088135
11,fl_static_no_densification,0.1805916726589203
11,fl_static_no_densification,0.07364782691001892
11,fl_static_no_densification,0.08391965180635452
11,fl_static_no_densification,1.9378114938735962
11,fl_static_no_densification,1.8738913536071777
11,fl_static_no_densification,1.8179116249084473
11,fl_static_no_densification,0.005613455083221197
11,fl_static_no_densification,0.06769614666700363
11,fl_static_no_densification,0.03262750431895256
11,fl_static_no_densification,0.1385372132062912
11,fl_static_no_densification,0.05458430200815201
11,fl_static_no_densification,0.1424075961112976
11,fl_static_no_densification,0.14113324880599976
11,fl_static_no_densification,0.09311076998710632
11,fl_static_no_densification,0.13896341621875763
11,fl_static_no_densification,0.14906901121139526
11,fl_static_no_densification,0.18237820267677307
11,fl_static_no_densification,0.1414116770029068
11,fl_static_no_densification,0.20199082791805267
11,fl_static_no_densification,0.20434804260730743
11,fl_static_no_densification,0.08892793953418732
11,fl_static_no_densification,0.09887156635522842
11,fl_static_no_densification,0.08582194149494171
11,fl_static_no_densification,0.05850773677229881
11,fl_static_no_densification,0.12808556854724884
11,fl_static_no_densification,0.04757702723145485
11,fl_static_no_densification,0.033127717673778534
11,fl_static_no_densification,0.07781289517879486
11,fl_static_no_densification,0.2132202684879303
11,fl_static_no_densification,0.02112116664648056
11,fl_static_no_densification,0.09652769565582275
11,fl_static_no_densification,0.040250275284051895
11,fl_static_no_densification,0.11274858564138412
11,fl_static_no_densification,0.042503323405981064
11,fl_static_no_densification,0.10625549405813217
11,fl_static_no_densification,0.10918595641851425
11,fl_static_no_densification,0.043410371989011765
11,fl_static_no_densification,0.08510825037956238
11,fl_static_no_densification,0.04163723438978195
11,fl_static_no_densification,0.015564411878585815
11,fl_static_no_densification,0.041515544056892395
11,fl_static_no_densification,0.04729118570685387
11,fl_static_no_densification,0.013392230495810509
11,fl_static_no_densification,0.10538700222969055
11,fl_static_no_densification,0.042223647236824036
11,fl_static_no_densification,0.11748261004686356
11,fl_static_no_densification,0.10615766793489456
11,fl_static_no_densification,0.11895225197076797
11,fl_static_no_densification,0.05414063110947609
11,fl_static_no_densification,0.03801115229725838
11,fl_static_no_densification,0.16884256899356842
11,fl_static_no_densification,0.13744041323661804
11,fl_static_no_densification,0.02880723960697651
11,fl_static_no_densification,0.0762500986456871
11,fl_static_no_densification,0.009502818807959557
11,fl_static_no_densification,0.13519638776779175
11,fl_static_no_densification,0.11206059902906418
11,fl_static_no_densification,0.06584782153367996
11,fl_static_no_densification,0.052338857203722
11,fl_static_no_densification,0.05335547402501106
11,fl_static_no_densification,0.13677187263965607
11,fl_static_no_densification,0.07963871210813522
11,fl_static_no_densification,0.1333194226026535
11,fl_static_no_densification,0.16929090023040771
11,fl_static_no_densification,0.14453624188899994
11,fl_static_no_densification,0.03548544645309448
11,fl_static_no_densification,0.19581915438175201
11,fl_static_no_densification,0.013564550317823887
11,fl_static_no_densification,0.04670853167772293
11,fl_static_no_densification,0.030556829646229744
11,fl_static_no_densification,0.1802694946527481
11,fl_static_no_densification,0.12475523352622986
11,fl_static_no_densification,0.13903887569904327
11,fl_static_no_densification,0.7659319043159485
11,fl_static_no_densification,0.770022451877594
11,fl_static_no_densification,0.7772569060325623
11,fl_static_no_densification,0.12016551196575165
11,fl_static_no_densification,0.03439386934041977
11,fl_static_no_densification,0.052034925669431686
11,fl_static_no_densification,0.09114330261945724
11,fl_static_no_densification,0.09965851157903671
11,fl_static_no_densification,0.06925256550312042
11,fl_static_no_densification,0.02427423931658268
11,fl_static_no_densification,0.07048805058002472
11,fl_static_no_densification,0.03815477341413498
11,fl_static_no_densification,0.060793355107307434
11,fl_static_no_densification,0.05896684527397156
11,fl_static_no_densification,0.026671435683965683
11,fl_static_no_densification,0.03879653662443161
11,fl_static_no_densification,0.1682630181312561
11,fl_static_no_densification,0.13947351276874542
11,fl_static_no_densification,0.23446036875247955
11,fl_static_no_densification,0.05674454942345619
11,fl_static_no_densification,0.020687438547611237
11,fl_static_no_densification,0.035716522485017776
11,fl_static_no_densification,0.09718775749206543
11,fl_static_no_densification,0.006859063636511564
11,fl_static_no_densification,0.15648674964904785
11,fl_static_no_densification,0.10388807207345963
11,fl_static_no_densification,0.08403687924146652
11,fl_static_no_densification,0.11361388117074966
11,fl_static_no_densification,0.0506180040538311
11,fl_static_no_densification,0.22823797166347504
11,fl_static_no_densification,0.09889967739582062
11,fl_static_no_densification,0.07024627923965454
11,fl_static_no_densification,0.033688005059957504
11,fl_static_no_densification,0.03206031769514084
11,fl_static_no_densification,0.03500492498278618
11,fl_static_no_densification,0.03438260778784752
11,fl_static_no_densification,0.09228461235761642
11,fl_static_no_densification,0.1326160877943039
11,fl_static_no_densification,0.07912437617778778
11,fl_static_no_densification,0.1430628001689911
11,fl_static_no_densification,0.08227153867483139
11,fl_static_no_densification,0.059287529438734055
11,fl_static_no_densification,0.08250682055950165
11,fl_static_no_densification,0.08468474447727203
11,fl_static_no_densification,0.0835331529378891
11,fl_static_no_densification,0.09764991700649261
11,fl_static_no_densification,0.09643972665071487
11,fl_static_no_densification,0.04837706312537193
11,fl_static_no_densification,0.03222047910094261
11,fl_static_no_densification,0.03483991324901581
11,fl_static_no_densification,0.016062721610069275
11,fl_static_no_densification,0.16723179817199707
11,fl_static_no_densification,0.04210104048252106
11,fl_static_no_densification,0.11623767018318176
11,fl_static_no_densification,0.044293470680713654
11,fl_static_no_densification,0.07940893620252609
11,fl_static_no_densification,0.07172771543264389
11,fl_static_no_densification,0.10935535281896591
11,fl_static_no_densification,0.10367423295974731
11,fl_static_no_densification,0.03602233901619911
11,fl_static_no_densification,0.12040729820728302
11,fl_static_no_densification,0.12478901445865631
11,fl_static_no_densification,0.06622866541147232
11,fl_static_no_densification,2.6244988441467285
11,fl_static_no_densification,0.1140027791261673
11,fl_static_no_densification,0.11930257081985474
11,fl_static_no_densification,0.03776807337999344
11,fl_static_no_densification,0.35551029443740845
11,fl_static_no_densification,0.043774791061878204
11,fl_static_no_densification,0.062510646879673
11,fl_static_no_densification,0.03942969813942909
11,fl_static_no_densification,0.041312091052532196
11,fl_static_no_densification,0.07810325920581818
11,fl_static_no_densification,0.11514819413423538
11,fl_static_no_densification,0.10878504067659378
11,fl_static_no_densification,0.030934175476431847
11,fl_static_no_densification,1.072325348854065
11,fl_static_no_densification,1.1044437885284424
11,fl_static_no_densification,0.006475311703979969
11,fl_static_no_densification,0.0884077399969101
11,fl_static_no_densification,0.0647774189710617
11,fl_static_no_densification,0.06100667268037796
11,fl_static_no_densification,0.16395142674446106
11,fl_static_no_densification,0.0716724619269371
11,fl_static_no_densification,0.12587885558605194
11,fl_static_no_densification,0.06338886171579361
11,fl_static_no_densification,0.052713967859745026
11,fl_static_no_densification,0.053185828030109406
11,fl_static_no_densification,0.07966826856136322
11,fl_static_no_densification,0.01143670454621315
11,fl_static_no_densification,0.15909935534000397
11,fl_static_no_densification,0.04333655163645744
11,fl_static_no_densification,0.1720760613679886
11,fl_static_no_densification,0.0429588258266449
