seed,method,label,test_condition,mae_m,rmse_m,p90_m,p95_m,max_m,n_test_windows,parameters,model_size_kib_fp32,update_size_kib_fp32,latency_batch1_ms_cpu,training_seconds_cpu,effective_sample_passes,train_windows,validation_windows,test_windows
37,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),burst,0.12861774861812592,0.19430167973041534,0.2434944212436676,0.43795454502105713,1.4501526355743408,2760,30970,120.9765625,120.9765625,0.4922029100043801,21.325293542000054,30.0,11040,2760,2760
53,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),mixed,0.1037537083029747,0.13927003741264343,0.19423064589500427,0.24058689177036285,0.8305349946022034,2760,30970,120.9765625,120.9765625,0.48721051000029547,21.712808973999927,30.0,11040,2760,2760
53,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),independent,0.0932345762848854,0.11272694170475006,0.18019837141036987,0.21444840729236603,0.7133849263191223,2760,30970,120.9765625,120.9765625,0.4929200700007641,21.712808973999927,30.0,11040,2760,2760
53,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),burst,0.12751862406730652,0.19689297676086426,0.23969855904579163,0.4579983651638031,1.179684042930603,2760,30970,120.9765625,120.9765625,0.510743109998657,21.712808973999927,30.0,11040,2760,2760
71,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),mixed,0.10085552930831909,0.13568167388439178,0.183315247297287,0.24191144108772278,1.0129258632659912,2760,30970,120.9765625,120.9765625,0.49799890000031155,21.538912110000183,30.0,11040,2760,2760
71,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),independent,0.0907839760184288,0.10805752128362656,0.16874508559703827,0.20231573283672333,0.39589938521385193,2760,30970,120.9765625,120.9765625,0.49710597999819583,21.538912110000183,30.0,11040,2760,2760
71,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),burst,0.11975789070129395,0.17520874738693237,0.23205871880054474,0.3728059232234955,1.3185189962387085,2760,30970,120.9765625,120.9765625,0.49572243000056915,21.538912110000183,30.0,11040,2760,2760
11,fl_static_no_densification,Federated static DNN without temporal densification,mixed,0.14847879111766815,0.3793025612831116,0.18503619730472565,0.24766860902309418,3.546574831008911,2760,4258,16.6328125,16.6328125,0.04480044000047201,4.22743674000003,30.0,11040,2760,2760
11,fl_static_no_densification,Federated static DNN without temporal densification,independent,0.09006638079881668,0.10788749158382416,0.1677098125219345,0.20487339794635773,0.5715522170066833,2760,4258,16.6328125,16.6328125,0.04638159000023734,4.22743674000003,30.0,11040,2760,2760
11,fl_static_no_densification,Federated static DNN without temporal densification,burst,0.28624922037124634,0.6888678669929504,0.7804054617881775,2.0773818492889404,3.5902371406555176,2760,4258,16.6328125,16.6328125,0.044811460002165404,4.22743674000003,30.0,11040,2760,2760
