seed,snr_db,aoa_std_deg,method,label,mae_m,rmse_m,p90_m,p95_m
11,35,1.3002513113090588,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.8916412,1.0234154,1.4766657,1.7162374
11,35,1.3002513113090588,adr_tcn_central,ADR TCN-only (centralized),0.04833577,0.07841434,0.080163725,0.1068586
11,35,1.3002513113090588,adr_lstm_central,ADR LSTM-only (centralized),0.04796646,0.07613185,0.08010962,0.1068586
11,35,1.3002513113090588,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.04608717,0.068981186,0.0800316,0.10448835
11,35,1.3002513113090588,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.052212045,0.0991341,0.0800316,0.10619046
11,40,1.142473721008936,fl_static_no_densification,Federated static DNN without temporal densification,0.095329784,0.36682478,0.070508935,0.095078446
11,40,1.142473721008936,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.89071697,1.0223845,1.4739815,1.7164397
11,40,1.142473721008936,adr_tcn_central,ADR TCN-only (centralized),0.043803543,0.07539304,0.0704872,0.094465464
11,40,1.142473721008936,adr_lstm_central,ADR LSTM-only (centralized),0.043435402,0.072967604,0.0703235,0.094465464
11,40,1.142473721008936,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.04155793,0.065512255,0.0703235,0.09379055
11,40,1.142473721008936,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.047673326,0.0967286,0.0703235,0.09443849
23,0,14.514365903196108,fl_static_no_densification,Federated static DNN without temporal densification,0.52935934,0.70331496,0.99860567,1.410365
23,0,14.514365903196108,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.6378337,1.7755618,2.5150006,2.720617
23,0,14.514365903196108,adr_tcn_central,ADR TCN-only (centralized),0.4589228,0.5564853,0.87826055,1.0654825
23,0,14.514365903196108,adr_lstm_central,ADR LSTM-only (centralized),0.4593941,0.5570735,0.8780962,1.0654825
23,0,14.514365903196108,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.4577052,0.555454,0.8780962,1.0654825
23,0,14.514365903196108,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.4613114,0.55821717,0.8800921,1.0660214
23,5,9.678112569110613,fl_static_no_densification,Federated static DNN without temporal densification,0.36826718,0.5601294,0.63242346,0.9194061
23,5,9.678112569110613,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.3623039,1.5053873,2.1725867,2.379553
23,5,9.678112569110613,adr_tcn_central,ADR TCN-only (centralized),0.2975459,0.35861284,0.5592245,0.6753706
23,5,9.678112569110613,adr_lstm_central,ADR LSTM-only (centralized),0.2976758,0.35909513,0.5616521,0.6756811
23,5,9.678112569110613,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.29570922,0.35651055,0.5556262,0.67351353
23,5,9.678112569110613,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.30034298,0.36169398,0.5632401,0.6841026
23,10,6.477289161443913,fl_static_no_densification,Federated static DNN without temporal densification,0.2706346,0.49347016,0.4181194,0.5963948
23,10,6.477289161443913,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.1310016,1.2756956,1.8461534,2.0830278
23,10,6.477289161443913,adr_tcn_central,ADR TCN-only (centralized),0.19995555,0.24185759,0.38040236,0.46097732
23,10,6.477289161443913,adr_lstm_central,ADR LSTM-only (centralized),0.19992481,0.24203174,0.37718624,0.46171886
23,10,6.477289161443913,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.19785099,0.2383203,0.37185535,0.4525839
23,10,6.477289161443913,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.20295618,0.24662654,0.3837967,0.4694974
23,15,4.370456435499681,fl_static_no_densification,Federated static DNN without temporal densification,0.20936483,0.4630869,0.28230366,0.400699
